recipient,amount
4XsMU8KWUA9JShaei9GKFVPVihx6WZ8hpXuVgQPkAMFg,106813078180
6j4ruT65Jk282NwLQbZbcwT4cQtrn2mSgqD5DDXtuVCM,2634925211963
7kwZc68XSEs3bgPcHjh6XKUG2t5ocWKEZtnVJYcEjvPs,90079062373280
7Gjec4iDbTxLvVYNsRbZrrHdtyLByzdDJ1C5BmcMMBks,20176532468008
ESNarF7DFmuWEfw8sd2A9uzjWxGuaF3BU8GBiszW9pft,20255677860389
DwGEK1ZSC5SM9e7Tkts5hLpkUffAsFUcqeLr2zifaXZi,20109607474536
HjFSnMZX3mUgEjtzrS322dFcMAtzYon3xkZbMzHe3KWs,20182067714799
3tzpLMWRkWucvTRWU5PjgKzN1iwJuV69yCCjmuuo4gTk,245850478443164
animLYt16FXKhMLf9gEdZJbrLCsthGtj8BYSxYLLay8,525475898736
94HgFvsD8zm7UXJ5KJxN4zW5nsdhZWY2LFREjfaFEHwR,378272431798
FYWeJ3uyJRHPUYj84ebhPAa7ZTeq9WU8LHQaKAgDcF74,20179368931450
93fX4gLgnUkcf3vmGBzuNKEt4em2tHxgmVcbq9vNq4jE,182807776326477
indMGAW9rPd6d4Pe8YoN2gYRhUpLmEDdSGeQVo6kJ46,19955652592294
SFundNVpuWk89g211WKUZGkuu4BsKSp7PbnmRsPZLos,36948424857243
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,135231665822311
5TqMpx4wDLRn7qNaNxJ1bsznrqAhF9meoxcpdY2Bc6Es,49783589976451
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,489656298861024
CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K,62857278232507
Fx67BgATzUCXtHKX9qDaGGKrANLWhLixjMuRT4dT3JKh,20233285015080
CLdRznGdzSXqpAu3SNbYiaiXeDfbe3hJ7ZikFKybsSdX,20172704134230
CVRr5oHCAAooVbYze7CvXtRp4FUtkMCSqBZU7MVu8v8e,116428330480266
rusx3KV69WGvsEbWa2HxjXp9GfHpjojM94BqsnfxKhx,22258034876620
87aa82cCUqVUWza4WvGk4wNTRJ1aZzugUvch74r7gHQd,222328710112860
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,3517915827770030
GnZB2GTH8KJKqU3L4tR42a7BnKXxvgS9rerGMAszNCp,20103205431704
GmJZNahpvdqMFTtrqjLHC9UcsuE83Xk3DmgrSpqdWhWr,20379301346455
8U1oTx4EvAgqesgaemAzpwrJsysUHEg8bBQ7Kdbp1W5X,149940098033861
HKjEo1L2wwiJg5bE7mQQq14t98mRSfbQfrCWTYceScP8,20230775535989
KBoNKoxPjdEmR4TrV9wH9wi96x9vSAs9NET94h91SGJ,102750737754781
scb1Z7du8NVSaHFXsafSjRdXr6xBjWR3iugikL739Y1,53957329027939
8c9dYBdnCy5446dbf23ZyenuJRSDqATCXN6DXgKGErLw,205400546598856
7cvpkJPcvNX1DpkyYzP9vtKrLUr9xEjb8AxcBT56bnjS,213718344610373
AmhQFcGvH2hjkucP78rn6GMKSbstYwyFpCDVKZUwBGrG,50828520803155
FUNDTXgtnkfuhK6G6JUi5CzxPWeZNF9n96vFuBNGFy1v,26509472907
9bxGPEvFjGHqpAHMkm97R5d8euFnpJ3ws83tMkTbcBUJ,46637358420972
EuFGYR8gvg5SknEnYj8iGneaHWNkGvhYrE5ydvXvLpfX,30838077726007
2dR71LgjkefxKSYmPGrbHVb6rzYgkVii34rbYKJuDcn2,20512270963247
BrHkKTdfk7THE9p7mfEW9VKwxKXSZUCWQw4RLQwPWHEx,83245178717320
Ee4qAkGpWJ76W8nwpqVH92upDrNhzpv6dihAFxwMHrjw,20293920383928
5L6SdhTp7QsJHrQAxHRQ2NEH4AfCApBKDgPwuF8F9Exf,20132115177489
F5ERVawfscHaqdAWuZ5eY5yA459B3FgR42aj1hKWNjNK,23512447051426
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,298807732061885
DLupiSkASr2wkSLazQodYL3M8v8zvtpoGrJ1nLc9bysK,114113178132892
2nHwBDwqtQNTbCUwhttsBUHnQw5QJwuDNGvynNtHaEx4,19983991843376
Aho3hF8mqLmadyJdUFpoGidyo3fYAt3ALm2QpAo8wMX,23568429079602
Gumx21GXCW5nPhMfhHw3Rd8uW8LkcBw56pw6YEpXcTbb,20261847829596
AgG8obWYeVY6nSkPYqDHXfssxdcG68GkuBikkearYRv1,37088747715242
85YBDL6Wf7pdJBNqqCEuW4hCD7FVKv7gqnF8cKZycZmA,2037902157342
3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer,220251494178830
HYLS8q5k3S5qPoUfwTvcUzyLJ6wUsFoi8DtJVryH73KV,20281910898709
EGxRiYuhVeAW9z6g2vXrCiMsqUGoE4FUi8NkqNnzky9Z,185027805344960
ARF8ETYuMQ5wvUqgbWBLSKe2Uz2ytHuvWEVoybwcqk8c,111175295432478
2vRvja1nwPE8AFscyYXH5rhYqjbZGMMgTc3D2NgECYus,403961362629
CyUEJ2KvRCDZqPM5PZ7RVznyjsto8zKc5or6CJZJDPda,108960724040448
4JahMMrVRS1gimWoXpD5H6KwKc2MrsoTDFMaStMttL1E,68531561012601
DaVvfMfKshGMtCTrDnsdiGj1FhdCVCJSTjRRwuZgZy5C,20344534541246
CgX2X6x4kDpxbmAdAPPFFCs7X26b9V8i7hpeYTRHq2hS,20172828627743
JACKALkk85FyW2RCbPbMUgZXe8BECS3fjEX64ESFNSp3,7169308205745
4LSfKc2sPZEvb94JeKvySeThmRR8ySBWwRuMz6Pvj4Zf,19798923964491
BtJei4AagS2viyJPYVT8FVhRiDKW5YyusQuqjVbtG3Hs,28643552707609
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,2499999939665440
yki86o1JZQkEoyXcSL5eSaE3HtDvjVhkZTBRTYxGmWf,2000406
4J9HoqBamEDyEKGDZgeRjCpiGCirHzqP1CadWmznrghF,20555947645187
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,1207979324901175
HrpWeJSYnQVtZe3BKxFCBrAEr8GRCmYUbQev4hoGDBs6,20093864401971
6gnbmed7kzwQVQ7ghsjgEuCoYmGeWciV2qCwni6WS6HU,120335426226713
F3tdN8SoakjEPb743VY18YyKJWYHo6rojV3nkas5YJh8,21299441873262
EUVBn58XXTX9RBTm1R7Wd8n8JkvBMQfc9uSn5wPhbdBL,21519726409229
CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD,534422201116631
3uvCCYvLnxU1QsP3d9NXBLQyrAPiLeKfN6iTUbZdhnNM,20160500459460
7zAHbRxEQaNjKnQMjFm7j8LebHSGfzsQDdm2ZpUNPa7G,45006021008029
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,669929925006036
AiBEt9kE8yZ4CnaLfTCGMp7Fg2wCtqhPTfvJ8D3zrLfu,48229461300509
2iXZmNQmmgE5ZeTQ1GMhhYGDqDr2BiqdEu3DbGJDo8MA,20098452587970
scs2Ra91pMbvqFAP7uitrN5U25SoyBTqZgBbhpVMJko,53937812742143
EohESr4xHG2tmzL76oaL6NAW7ayA89rX8Le2t5vMoNPR,106083852481966
